Store Name, Address, Opening Hours
Marathon,1200 US Highway 72 W,24/7
Shell Gas Station,213 Greenspring Ave,24/7
Marathon Gas Station,1608 Bessemer Rd,Mon-Sat: 5 am - 1 am  Sun: 6 am-12 am
Citgo,734 Graymont Ave W,Daily 6am-12am
Woodland Petro Gas Station,6400 1st Ave N,Mon-Sat: 5:30 am - 12 am Sun: 6 am - 12 am
ID # 1034 Conoco 5982 AL-157,Cullman,24/7
Shell,206 Austinville Road SW,24/7
Chevron,380 Buster Rd,Mon-Sun: 6:00am - 9:00pm
Victory Fuel,3504 Cloverdale Rd,Mon-Sun: 6:00am - 11:00pm
Texaco,851 Ryland Pike,Mon-Sat: 6:00 - 9:00pm Sun: 7:00am - 9:00pm
Drake Mini Mart Inc,3629 Patton Road,Monday-Sunday: 5:00 AM-11:00 PM
Parkway Place,2801 Memorial Pkwy South,Mon-Sun: 11:00am - 7:00pm
Sunoco,6090 Madison Pike,24/7
Chevron,4964 Memorial Pkwy NW,Mon-Sun: 6:00am - 10:00pm
Greenbrier Chevron,6681 Swancott Rd,Mon-Sun: 5:00am - 9:00pm
Shell,1254 Montlimar Dr,Monday-Sunday: 5:00 AM-11:00 PM
Discount Zone Shell,158 N Broad St,Mon-Sun: 6:00 am - 12:00 am
Circle K,3471 Spring Hill Ave,24/7
Circle K,3050 Cottage Hill Rd,24/7
Circle K,1021 Ann St,24/7
Circle K,966 W South Blvd,24/7
Chevron,1511 Jackson Ferry Rd,24/7
Jet Pep,2310 Pelham Pkwy,Mon-Sun: 5:30am - 12:00am
Texaco Gas Station,3805 Hatch Blvd,Mon-Sun: 6am-12am
Chandler Smoke and Cigar,1960 W Ray Rd Suite #106,Mon-Sun: 8:30am - 11:00pm
Discount Store,12092 W Thunderbird Rd,Mon-Sat: 9:00am - 9:00pm Sun: 10:00am - 6:00pm
Chevron Gas Station,5105 W Glendale Ave,24/7
Circle K,1203 S Power Road,24/7
Circle K,1810 S Country Club Dr,24/7
Shell,2055 US-60,Mon-Sun: 4:00am - 10:00pm
Shell Gas Station,1042 N 51st Ave,24/7
Circle K,1609 N 91st Ave,24/7
76,1045 N 24th St.,Mon-Sun: 5:00am - 11:00pm
Circle K,11339 W Bell Road,24/7
Circle K,119 W University Dr,24/7
Arizona Malls Shopping Mall,5000 Arizona Mills Circle,Mon-Sat: 10:00 am - 9:00 pm  Sun: 11:00 am - 6:00 pm
Kwik Mart,606 W Broadway Rd,Mon-Sun: 9:00am - 9:00pm
Pride Food Mart,1734 E Apache Blvd.,Sun-Mon: 6:00am - 12:00am
AM/PM,2891 W Valencia Rd.,24/7
Circle K,2616 S Mission Rd,24/7
Circle K,977 E Speedway Blvd,24/7
Sunshine Express Food Mart - Texaco,1005 W South St,Mon-Sun: 5:00am - 11:00pm
White Oak Station,1140 E Centerton Blvd,Mon-Sun: 5:00am - 12:00am
Valero,515 Harkrider St,Mon-Sun: 5:00am - 1:00am
Wild Bill's,1240 Garland Ave,Mon-Sun: 5:00am - 1:00am
Fast Trax,1500 S School Ave,Mon-Sun: 5:00am - 12:00pm
Pic N Tote,2000 Phoenix Ave,24/7
Pic-N-Tote,6600 Phoenix Ave,24/7
Garrison Liquor,415 Garrison Ave Suite B,24/7
Speedy Wolf,1203 W Parker Road,24/7
MS Express,3224 S Caraway Road,Mon-Sun: 5:00am - 12:00am
Circle K,6201 Colonel Glenn Road,24/7
Circle K,10321 Colonel Glenn Road,24/7
Circle K,5051 Warden Road,Mon-Sun: 6:00am - 10:00pm
McCain Mall,3929 McCain Blvd,Mon-Sat: 10:00am - 9:00pm Sun: 12:00pm - 6:00pm
Fast Mart,1420 S Cherry St,Mon-Sun: 5:00am - 12:00am
White Oak Station Pinnacle Market,2000 S Promenade Blvd #1,24/7
Speedway,601 E Emma Ave,Mon-Sun: 5:00am - 11:00pm
Circle K,2203 Fayetteville Rd,24/7
BP,906 Ingram Blvd Ext.,24/7
Chevron Gas Station,5051 Kanan Rd,24/7
Bonfare Market,650 Central Ave Suite H,Mon-Sun: 7:00am - 10:00pm
Chevron,1000 N State College Blvd,24/7
Abba Smoke City,903 N Euclid St,Mon-Sun: 10am - 10pm
Antelope Liquors,8023 Watt Ave,Mon-Sun: 7:00am - 1:00am
Chevron Gas,11 E Live Oak Ave,24/7
Chevron,16725 Pioneer Blvd,24/7
Arco,304 E Foothill Blvd,Mon-Sun: 5am-12am
Rodeo Smokeshop,459 S Azusa Ave a1,Mon-Sun: 10:00am - 9:00pm
The Giggle Shack,1906 East California Ave Suite A,Mon-Sun: 9:00am -10:00pm
Shell Gas Station,2192 Ramsey St.,Mon-Sun: 6am-12am
Chevron Gas Station,9409 Alondra Blvd,24/7
Chevron,1500 University Ave,Mon-Sun: 6:00am - 12:00am
Brea Mall,1065 Brea Mall,Mon-Sat: 11am - 7pm Sun: 12pm-6pm
Midtown Market,249 Visitacion Ave,Mon-Sun: 6:00 am - 12:00 am
Chevron Gas,3701 West Riverside Drive,24/7
Kwik Serve,1638 N San Fernando Blvd,24/7
Kwik Serve,1951 North Hollywood Way,Mon - Fri: 6am - 11pm Sat &amp; Sun: 7am - 10pm
Mobil Gas,349 South Glenoaks Blvd,24/7
Calabasas Auto Spa/Shell,24115 Calabasas Road,Monday-Sunday: 8:00 AM-5:00 PM
Circle K,1213 Calimesa Blvd.,24/7
Camarillo Car Wash,4007 Adolfo Rd,Monday-Sunday: 5:00 AM-10:00 PM
76,2911 Petit Street,Monday-Sunday: 5:30 am-10:00 pm
Country Time Liquor,2591 S Bascom Ave Suite A,Mon-Sun: 9:00am - 12:00am
Arco,20951 Vanowen St,24/7
Bottle Bin Liquor,20915 Vanowen St,Mon-Thu: 7:00am - 11:00pm Fri-Sat: 7:00am - 12:00am Sun: 7:00am - 11:00pm
Deep Liquor,22058 Center Street,Mon-Sun: 9:00am - 10:30pm
All Star Smoke Shop,1460 Mitchell Rd STE H,Mon-Sun: 9:00am - 11:00pm
Circle K,9859 Topanga Canyon Blvd,24/7
California Park Market,800 Bruce Road #400,Mon-Sun: 7:15 am - 11:00 pm
Wine Cellar,958 East Ave STE. D,Mon-Thu: 8:00am - 11:00pm Fri-Sat: 8:00am - 2:00am Sun: 8:00am - 10:00pm
City Liquor Market,3028 Esplanade A,Monday-Sunday: 7:00 AM - 11:00 PM
Ray's Liquor,207 Walnut Street,Sunday-Wednesday: 9:00 AM-12:00 AM  Thursday-Saturday: 9:00 AM-2:00 AM
Gift &amp; Smoke Shop,5678 Riverside Dr,Mon-Sat: 10:00am - 7:30pm Sun: 10:00am - 3:30pm
S &amp; B Market,16307 Chino Corona Rd,Mon-Sun: 8:00am - 8:00pm
Santa Fe Meats,2514 Main Street,Mon-Thur: 8:00am - 8:00pm  Fri-Sat: 8:00am - 9:00pm Sun: 8:00am - 8:00pm
Circle K,404 Telegraph Canyon Rd,24/7
M &amp; J Liquor,5944 Sperry Drive,Mon-Sun: 7:25am - 10:30pm
Circle K,1030 S Mt Vernon Ave,24/7
Chevron Gas Station,6150 East Telegraph Rd,24/7
ARCO,1924 W Alondra Blvd,24/7
Pic N Pac,1700 Willow Pass Rd B,Mon-Sun: 6:00am - 1:00am
Rowjani Fast &amp; Easy,4475 Treat Blvd,Mon-Sun: 6:00am - 2:00am
Smoke Smoke Shop,3622 Willow Pass Rd,Mon-Sun: 8:00am - 10:00pm
Del Lago Liquor,1276 Border Ave,Mon-Wed: 6:00am - 11:00pm  Thu-Sat: 6:00am - 12:00am Sun: 6:00am - 11:00pm
Circle K,13120 Magnolia Ave,24/7
Costa Mesa Wine and Spirits,891 Baker St #B1,Sunday-Thursday: 8:00 am-12:00 pm Friday-Saturday: 8:00 am-1:00 am
Costa Mesa Wine &amp; Spirits,891 Baker Street #B1,Mon-Thu: 8:00am - 12:00am Fri-Sat: 8:00am - 1:00am Sun: 8:00am - 12:00am
Mobil Mart,6011 Ball Road,Mon-Sun: 5am-12am
Fast &amp; Easy Mart,1601 Research Park Dr,24/7
Sunshine Market,8830 Rosecrans Ave,Mon-Sun: 8:00am - 11:00pm
Mobil Gas Station,11861 Paramount Blvd,24/7
Dublin Liquor &amp; Wine,4562 Dublin Blvd,Mon-Sun: 10:00am - 10:00pm
A1 Liquor,7174 Regional St,Mon-Sun: 9:00am - 11:00pm
Imperial Valley Mall,3451 South Dogwood Avenue,Mon-Sun: 11:00am - 7:00pm
76,3266 Santa Anita Ave,24/7
Arco,4378 Santa Anita Ave,24/7
Circle K,9616 W. Taron Dr.,24/7
Circle K,9190 E Stockton Blvd,24/7
White Oak Shell Gas Station,17660 Burbank Blvd,24/7
Circle K,1161 E Valley Pkwy,24/7
Chevron Gas,16111 E Valley Blvd,Unknown
Chevron,10510 Sierra Ave,24/7
Neighboorhood Liquor &amp; Food Market,17883 Foothill Blvd,Mon-Thu: 7:00am - 11:00pm Fri-Sat: 7:00am - 12:00am Sun: 8:00am - 11:00pm
Lotus Liquor,17951 Magnolia St,Mon-Fri: 8:00am - 10:00pm Sat-Sun: 9:00am - 10:00pm
Bin &amp; Barrel,42314 Fremont Blvd,Mon-Sun: 9:00am - 11:00pm
OO Liquor Mart,34460 Fremont Blvd Suite G,Mon-Sun: 9:00am - 10:30pm
Save On Liquor,4988 N Fresno St,Mon-Sun: 7:00am - 1:00am
J&amp;J Liquor,2238 W Orangethorpe Ave,Mon-Sun: 6:00am - 11:00pm
City Market 11,333 N Placentia Ave,Mon-Sun: 7:00am - 12:00am
ARCO,13331 S Euclid St,24/7
Chevron,17400 South Western Ave,24/7
Mobil Gas Station,1403 Redondo Beach Blvd,24/7
Chevron Gas Station,466 W Broadway,24/7
Shell Gas Station,1041 W Kenneth Rd,24/7
Chevron Gas Station,501 E Glenoaks Blvd,Mon-Sun: 5:30am-11:30pm
Arco Gas Station,113 East Arrow Hwy,Mon-Sun: 5am-12am
Chevron,17009 Rinaldi St,24/7
One Stop Tobacco,664 Freemont Ln,Mon-Sun: 8:30am - 8:30pm
United Market,426 E 7th St,Mon-Sat: 7:00am - 10:00pm Sun: 7:00am - 9:00pm
Chevron Gas Station,1250 Sepulveda Blvd,24/7
Perry's Liquor,27220 Hesperian Blvd,Mon-Sun: 8:00am - 11:00pm
Marina Smoke Shop,6041 Bolsa Ave Ste 4,Mon-Thur: 9:00am - 10:00pm  Fri-Sat: 9:00am - 10:30pm Sun: 9:00am - 10:00pm
Mobil Gas,9001 Adams Av,24/7
Circle K,43955 Clinton St,24/7
Kwik Serve,1235 Centinela Ave,Mon-Sun: 6:00 am - 11:00 pm
ARCO,3611 W Imperial Hwy,24/7
Chevron,4015 West Century Blvd,24/7
ARCO,110 E Longden Ave,24/7
Circle K,10597 Jurupa Rd,24/7
Shell Gas Station,4530 Angeles Crest Hwy,24/7
Harbor Mart Liquor,320 N Harbor Blvd,Sun-Thu: 7:00am - 12:00am Fri-Sat: 7:00am - 1:00am
Sierra Market,3834 Massachusetts Ave,Sun-Thu: 7:00am - 10:00pm Fri-Sat: 7:00am - 12:00am
Circle K Gas,15008 Leffingwell Rd,24/7
Bubbles Liquor,15608 E. Gale Ave. Suite B,Mon-Sun: 9:00am - 10:00pm
Circle K,78364 US Highway 111,24/7
Mobil Gas Station,5500 South St,24/7
AV Liquor &amp; Jr Market,44201 20th St W,Mon-Thur: 7:00am - 12:00am Fri-Sat: 7:00am - 1:00am Sun: 7:00am - 12:00am
Liquor Mart,2643 Lemon Grove Ave,Mon-Thur: 8:00am - 11:00pm  Fri-Sat: 8:00am - 12:00am Sun: 8:00am - 11:00pm
San Francisco Premium Outlets,2774 Livermore Outlets Dr,Mon-Thu: 11:00am - 7:00pm Fri-Sat: 10:00am - 8:00pm Sun: 12:00pm - 6:00pm
Valero,2620 Old First St,Mon-Sun: 7:00am - 10:00pm
Shell Gas,25808 Narbonne Ave,24/7
Smokin 4 Less,644 N H St,Mon-Sat: 8:00am - 9:00pm Sun: 8:00am - 7:00pm
Beer King Market,1203 E 4th St,Mon-Sun: 8:30am - 10:00pm
Sherman Car Inc,1965 E Artesia Blvd,24/7
76 Gas Station,2002 E Del Amo Blvd,Mon-Sun: 6am-11pm
Chevron,Chevron 601 West Willow St Long Beach,24/7
Mobil,3400 E Anaheim St,24/7
Chevron,3817 W 3rd St,24/7
Arco #1 Fuel,655 N Western Ave,24/7
Mr Spirit Liquor,6818 S Western Ave,Mon-Sun: 8am - 10pm
DNA Liquor,Liquor 247 E Manchester Ave,6am-2am
Westwood Mobil,10863 West Olympic Blvd,24/7
Mobil Gas,2207 Colorado Blvd,Mon-Sun: 6am-12am
Shell,4590 Huntington Drive North,24/7
New Orleans Market,2718 W Vernon Ave,Mon-Sat: 6:00am - 11:00pm Sun: 6:00am - 10:00pm
Chevron Gas Station,307 North La Brea Ave,24/7
Paco's Liquor,5048 E 3rd St.,Mon-Sun: 8am-1am
Mobil Gas Station,7865 Sunset Blvd,24/7
Velero,14204 S Figueroa St,24/7
Smoke EZ,16925 Vanowen St #2,Mon-Sun: 10:00am - 11:00pm
ARCO,2050 W Manchester Ave,24/7
Chevron,449 W Imperial Hwy,24/7
Smoke and Market (LA Tobacco Mart),1252 E Florence Ave,Mon-Sun: 9:00am - 7:00pm
Chevron Gas Station,4590 Melrose Ave,24/7
Shell Gas,7360 La Tijera Blvd,24/7
Mobil Gas,1925 S. Crenshaw Blvd,24/7
Century City,10389 Santa Monica Blvd,24/7
Chevron,25800 South Western Ave,24/7
Chevron Gas Station,1101 N Mission Rd,24/7
Arco,9922 S Main St,24/7
Mobil,9448 West Pico Blvd,24/7
Chevron Gas Station,1535 North Eastern Ave,Mon-Sat: 6:00 am - 7:00 pm  Sun: 7:00 am - 10:00 pm
Mobil Gas,6600 West Manchester Ave,Mon-Sun: 5am-12am
Arco,2211 S. Hoover Street,Mon-Sun: 6am-10pm
Arco,13605 Roscoe Blvd,24/7
Louie's Liquor Market,908 E Jefferson Blvd,Mon-Sun: 8:00am - 12:00am
Chevron Gas Station,15354 La Mirada Blvd,Mon-Sun: 8am-8pm
Dollar Mart,12322 Long Beach Blvd,Mon-Sun: 7:00am - 9:00pm
Martinez Liquor Market,2300 Martinez Ave,Mon-Sun: 8:00am - 10:00pm
El Barato Liquor and Market,5306 Atlantic Blvd,Mon-Wed: 9:30am - 12:00am Thu-Fri: 9:30am - 2:00am
Chevron Gas,27650 Santa Margarita Pkwy,24/7
99 Plus Outlet &amp; Smokeshop,1620 Crows Landing Rd.,Mon-Sun: 8:30am - 12:00am
A &amp; A Smoke Shop,4213 McHenry Ave,Mon-Sun: 9:00am - 10:00pm
Chevron Gas,1515 S Myrtle Ave,24/7
Chevron,502 New Los Angeles Ave,24/7
Circle K,13261 Perris Blvd,24/7
Farm Market,14058 Redlands Blvd,Mon-Sun: 7:00am - 10:00pm
Puff "N" Up Smoke Shop,24430 Alessandro Boulevard,Mon-Sun: 9:00am - 9:00pm
Circle K,24051 John F Kennedy Dr,24/7
Chevron,830 Leong Dr,Mon-Sun: 6:00am - 10:00pm
Liquor &amp; Tobacco,1040 Rengstorff Ave #2A,Mon-Sun: 10:00am - 10:00pm
Napa Premium Outlets,629 Factory Stores Dr,Mon-Sat: 10:00am - 9:00pm Sun: 10:00am - 7:00pm
Party Time Market 6,2945 Highland Ave,Mon-Sat: 5:00am - 12:00am Sunday: 12:00am - 11:59pm
Bob's Discount Liquor,7000 Jarvis Ave #A,Sun-Thu: 7:00am - 12:00am Fri-Sat: 7:00am - 2:00am
Circle K,790 6th St,24/7
Chevron,5701 Watt Ave,24/7
Boss Liquor,6745 Watt Ave,Mon-Sun: 7:00am - 12:00am
Chevron Gas Station,10960 Moorpark St,24/7
Chevron Gas Station,4757 Laurel Canyon Blvd,24/7
Louie's Liquor II,13360 Sherman Way,Mon-Sun: 7:00am - 11:00pm
76 Gas Station,18050 Nordhoff Street,24/7
Chevron Gas Station,19269 Nordhoff St,24/7
Chevron,11240 Tampa Ave,24/7
Circle K,13041 Rosecrans Ave Suite 201,24/7
