Store Name, Address
Southwest Chevron,1030 W South Blvd.  Montgomery  AL 36105
Shell – Birmingham,1100 4th Ave. N.  Birmingham  AL 35203
A&amp;M Market,8601 E. Main st.   Mesa  AZ 85207
Max Mart,735 E. Mckellips Rd.  Mesa  AZ 85203
Cellars Fine Wine,10660 N. 32nd St.  Phoenix  AZ 85028
Git N Run,1631 S. Val Vista Dr.  Gilbert  AZ 85295
Fountain Liquor,22030 S. Ellsworth Rd  Queen Creek  AZ 85142
Dos Arbolitos,22030 S. Ellsworth Rd  Queen Creek  AZ 85142
Devil’s Liquor,1858 E. Apache Blvd.  Tempe  AZ 85281
D &amp; S Market,2340 N. 32nd St.  Phoenix  AZ 85005
Simon Chevron,1901 Bethany Home  Phoenix  AZ 85015
Speedy Stop Food Mart,5033 S. 16th St.  Phoenix  AZ 85040
Cactus Shell,6730 Cactus Rd.  Peoria  AZ AZ 85381
Stop-in Market,5710 N. 67th Ave.  Glendale  AZ 85301
Bubba’s Drive Thru,15445 N. Greasewood St.   Surprise  AZ 85378
Tolleson Market,9312 W. Van Buren St.   Tolleson   AZ 85353
Flagstaff Pawn,2340 E Route 66  Flagstaff  AZ 86004
Victory Express,1801 Military Rd.  Jacksonville  AR 72076
D &amp; J Mini Mart,1802 N. Main Street North  Little Rock  AR 72114
Cana One Stop,1524 Pike Ave  North Little Rock  AR 72114
I-30 Super Store,612 E. Roosevelt  Little Rock  AR 72206
Star Food Market,714 S. Main St.  Brinkley  AR 72021
Zimmerman’s Exxon,5223 S. University Ave.  Little Rock  AR 72209
Big Stop N Go,5219 W 65th St  Little Rock  AR 72209
DK Fuel,8209 Geyer Springs Rd.  Little Rock  AR 72209
Phillips 66 – South Benton,15541 I-30  South Benton  AR 72015
White Hall Food Express,8003 Shendan Rd.  White Hall  AR 71602
Discount Liquor,4712 US-65  Pine Bluff  AR 71601
Eagle Express,2800 South Olive Street  Pine Bluff  AR 71601
Exxon One Stop,2901 West 28th Ave  Pine Bluff  AR 71603
Kwik Stop,1000 Albert Pike Rd  Hot Springs  AR 71913
Circle N Food Mart,101 North Lincoln Ave  Star City  AR 71667
Circle K,2104 G St.  Merced  CA 95340
Sinclair – M&amp;A Market,2980 Beachwood Dr.  Merced  CA 95348
Circle K Convenience Store,1619 Sycamore Ave  Atwater  CA 95301
Sheridan Shell,1233 S. Sheridan Blvd.  Lakewood  CO 80232
Gas &amp; Food Store,6215 Carr Street  Arvada  CO 80004
Gas Plus,6595 W. 44th Ave.  Wheat Ridge  CO 80033
Federal Liquors,3755 Federal Blvd.  Denver  CO 80211
Midway Liquors,1690 W. Midway Blvd.  Broomfield  CO 80020
Old Country Liquors,875 E. Thornton Pkwy  Thornton  CO 80229
Northglenn Discount Liquors,420 E 120th Ave  Northglenn  CO 13008
Mozzy-D Stores,754 Peoria St.  Aurora  CO 80011
Gateway Liquor Inc.,15470 Andrews Dr.  Denver  CO 80239
Shell – Sunset Fast Stop,1800 Boston Ave.  Longmont  CO 80501
Mini Food Mart,1039 S. Lincoln Ave.  Loveland  CO 80537
Shell – 54th Market,1005 54th Ave.  Greeley  CO 80634
Krauszers Waterbury,577 Chase Ave  Waterbury  CT 06704
Express mart LLC,1585 Meriden rd  Wolcott  CT 06716
Southington Shell,655 Queen Street  Southington  CT 06489
Valero – Wallingford,68 North Turnpike Road  Wallingford  CT 06492
CiCi Mart,385 Roosevelt Drive  Seymour  CT 06483
Citgo Food,75 South Turnpike  Wallingford  CT 06492
Irving Oil,158 Newington Ave  New Britain  CT 06051
Shell – North Haven,384 State Street  North Haven  CT 6473
Bd Sunny’s,1057 Whalley Ave  New Haven  CT 06515
JD Middletown,1075 Newfield St  Middletown  CT 06457
Irving Oil,543 Washington St  Middletown  CT 06457
Shell – Monroe,133 Main St.  Monroe  CT 06468
Gulf Gas Station,538 Main St.  Cromwell  CT 06416
Irving Oil,405 South Main St  Middletown  CT 06457
Gulf Gas City,1510 Albany Ave.  Hartford  CT 06112
Shell – West Haven,658 Campbell Ave  West Haven  CT 06516
Shell – Danbury,445 North Main St  Danbury  CT 06811
Citgo Gas,619 Saybrook Rd  Middletown  CT 06457
Mobil – Bloomfield,985 Blue Hills Ave.  Bloomfield  CT 06002
Xtra Fuel,12 Lake Ave Ext  Danbury  CT 06811
Shell – Glastonbury,2749 Main St  Glastonbury  CT 06033
Krauszer New Haven,25 Townsend Ave  New Haven  CT 06512
NorthEnd Variety,1482 Resevoir Ave  Bridgeport  CT 06606
Kr Milford,631 Milford Point Rd  Milford  CT 06460
Krauszers Guilford,350 Stepstone Hill Road  Guilford  CT 06437
L&amp;A Liquor,1506 Stratford Ave  Bridgeport  CT 06607
All Star Wine &amp; Liquor,200 West Center St  Manchester  CT 06042
Krauzser Bridgeport,2579 Fairfield Ave  Bridgeport  CT 06605
One Stop Westport,391 Westport Ave  Norwalk  CT 06855
South Bridge Convenience,1 South Bridge Dr.  Agawam  MA 01001
Mobil – Fishkill,10 west Merrit Blvd  Fishkill  NY 12524
Mobil,2605 South road  Poughkeepsie  NY 12601
Mobil – Poughkeepsie,3480 North Rd  Poughkeepsie  NY 12601
One Stop Mansfield,1659 Storrs rd  Storrs  CT 06268
Mobil – Marlboro,1417 Route 9W  Marlboro  NY 12542
Xpress Fuel &amp; Mart,119 Boston Rd.  Springfield  MA 01109
Shell – Thornwood,635 Marble Ave  Thornwood  NY 10570
Mobil – New Paltz,3 North Chestnut St.  New Paltz  NY 12561
Mobil – White Plains,381 Knollwood Dr.  White Plains  NY 10603
Shell – Greenburg,425 Dobbs Ferry Rd  Greenburg  NY 10607
Mobil – Nyack,316 Main st  Nyack  NY 10960
Bestway – Ledyard,1949 Center Groton Rd  Ledyard  CT 06339
Evolve Smoke Shop,457 Walt Whitman Rd.  Melville  NY 11747
Bestway Mobil,397 Norwich-Westerly Rd  Preston   CT 06365
Mobil – Nanuet,275 Route 59 E.  Nanuet  NY 10954
Shell – Orangeburgh,75 Dutch Hill LRd  Orangeburgh  NY 10962
Mobil – Pelham,30 Lincoln Ave  Pelham  NY 10553
Fresh Food Deli Grocery,97 Yonkers Ave.  Yonkers  NY 10701
New Dyre Deli,3805 Dyre Ave.  Brox  NY 10456
White Plains Star Deli,3766 White Plains Rd.  Bronx  NY 10467
Mobil – Chester,75 Brookside Ave  Chester  NY 10918
Green Earth Deli,382 E 205th St.  Bronx  NY 10467
BP – Mahwah,140 Franklin Turnpike  Mahwah  NJ 07430
Kingsbridge Smoke Shop,5625 Broadway  Bronx  NY 10463
East Tremont Super Deli Market,1798 E. Tremont Avenue  Bronx  NY 10480
Twalk Family Deli,531 E. Tremont Ave.  Bronx  NY 10457
Kiary Deli Grocery,1881 Grand Concourse  Bronx  NY  10453
Andreas Deli Grocery,1182 West Farms Rd.  Bronx  NY 10459
Tobacco Junction,3300 Sunrise Hwy.  Wantagh  NY 11793
Bavaro Smoke Shop,664 W 181st St.  New York  NY 10033
New Beginning Grocery,118 N. Franklin St.  Hempstead  NY 11550
Moe’s Quick Deli Inc.,469 Brook Ave.   Bronx  NY 10455
J &amp; M EXXON,1549 US-46  Fort Lee  NJ 07024
Tobacco Junction,201 Hempstead Turnpike   Elmont  NY 11003
Best Way Mini Market,1465 Amsterdam Ave.  New York  NY 10027
Express One Deli,9404 Astoria Blvd.   Queens  NY 11369
Smoke Shop &amp; Grocery,31-3 21st Ave.  Astoria  NY 11105
Almazen Candy &amp; Tobacco,216-17 Linden Blvd  Jamaica  NY 11411
Emerson Gourmet Deli,1810 3rd Ave.  New York  NY 10029
New York Deli &amp; Smoke,7920 Roosevelt Ave  Jackson Heights  NY 11372
Rego Park Dairy Farm Grocery,96-22 Queens Blvd.  Rego Park  NY 11374
Vasu Convenience,118-14 Queens Blvd.  Forest Hills  NY 11375
Keith &amp; Sean Service Station Inc.,270 W Sunrise Hwy  Valley Stream  NY 11581
110 Sutphin Deli,110-10 Sutphin Blvd.  Jamaica  NY 11435
Sutton Place Cards &amp; Gifts,1064 1st Ave.  New York  NY 10022
G &amp; G Deli Grocery,886 10th Ave.  New York  NY 10019
M &amp; N Deli Grocery,96-27  Atlantic Ave   Jamaica  NY 11421
Food Court JFK Airport,150th Ave. &amp; 147th St.  Jamaica  NY 11430
Adams at 97th Street,97-04 Rockaway Blvd  Jamaica  NY 11417
Grace News,254 35th St.  New York  NY 10001
ROUTE 3 EXXON SERVICE CENTER,209 Rt 3 E  Secaucus  NJ 07094
Clifton Auto Service,975 Van Houten Ave.  Clifton  NJ 07013
Jenesis Deli,26 Patchen Ave.  Brooklyn  NY 11221
206 Newstand,206 Varick St.  New York  NY 10014
Crown Fried Chicken,2106 Linden Blvd.  Brooklyn  NY 11207
Wash &amp; Teria Laundromat,90 Belmont Ave.  Brooklyn  NY 11212
Total Care Pharmacy,267 Central Ave.  Jersey City  NJ 07307
Metro Deli,1113 Rutland Road  Brooklyn  NY 11212
Shell Gas Station,1143 Clarkson Ave.  Brooklyn  NY 11212
Chandigarh Trading,2978 John F Kennedy Blvd.  Jersey City  NJ 07306
Candy Shop at Church Ave.,3519 Church Ave.  Brooklyn  NY 11203
CTown Supermarkets,759 West Side Ave.  Jersey City  NJ 07306
Crown Fried Chicken and Pizza,5930 Glenwood Rd.  Brooklyn  NY 11234
AA Convenience,88-18 Rockaway Beach Blvd  Rockaway Beach  NY 11693
US Fried Chicken,129 Dwight St.  Brooklyn  NY 11231
PROSPECT CORNER EXXON,101 Bloomfield Ave  Verona  NJ 07044
M&amp;M Grocery Corp.,1854 Nostrand Ave.  Brooklyn  NY 11226
Newirk Plaza Deli &amp; Grocery,1508 Newkirk Ave.  Brooklyn  NY 11226
United Check Cashing,212 Ocean Ave.  Jersey City  NJ 07305
Gas Mart,1568 Kennedy Blvd.  Jersey City  NJ 07305
Seven Day Convenience,1924 Kings Highway  Brooklyn  NY 11229
Discount Electronics,156 Ferry St  Newark  NJ 07105
Sunrise Gourmet Deli,5814 4th Ave.  Brooklyn  NY 11220
BP – Newark,312 Walnut St.  Newark  NJ 07105
SMA Gourmet Deli,3670 Nostrand Ave  Brooklyn  NY 11229
Good Luck Convenience,2207 Bath Ave  Brooklyn  NY 11214
Sunoco – Albany,1348 Central Ave  Albany  NY 12205
Smoking Grill,480 Targee Street  Staten Island  NY 10304
Magie Mart,965 Magie Ave  Union  NJ 07083
BP – Perth Amboy,163 Fayette St.  Perth Amboy  NJ 08861
BP Gas,1000 Amboy Ave  Edison  NJ 08837
76 Gas,4015 Governor Prince Blvd.  Wilmington  DE 19802
BP Moravia,5921 Moravia Road  Baltimore  MD 21206
Hometown Market,3114 Arctic Ave.  Atlantic City  NJ 08401
MacDade Food Mart,100 S. MacDade Blvd  Glenolden  PA 19036
Exxon Gas Station,1001 Baltimore Pike  East Landwone  PA 19050
Queen Village Food Market,629 S. 4th St.  Philadelphia  PA 19131
Citgo Gas West,4626 Lancaster Ave.  Philadelphia  PA 19131
Lukoil Gas Station,4421 N. Broad St.  Philadelphia  PA 19140
Citgo Gas East,7150 Torresdale Ave.  Philadelphia  PA 19135
6-Eleven Mini Mart,216 W. Beidler Rd.  King of Prussia  PA 19406
Audubon Market,2605 Audubon Rd.  Norristown  PA 19403
Bridge Food Mart,205 Bridge St.  Phoenixville  PA 19460
709 Market,98 N Wales Road  Lansdale  PA 19446
Exxon Tiger Mart,1930 Nottingham Way  Trenton  NJ 08619
Friendly Food Mart,1000 N Park Rd  Wyomissing  PA 19610
Sheetz #628,7970 Linglestown Road  Harrisburg  PA 17112
Uni-Mart,711 Wertzville Rd.  Enola  PA 17025
Marathon – Superstore,3304 S. Florida Ave  Lakeland  FL 33803
Northside Sunoco,3230 US Highway 98 N  Lakeland  FL 33805
Sunoco Food Mart,940 US Highway 27  Clermont  FL 34714
Marathon Stop,12901 US-92  Dover  FL 33527
Hemky LLC,4415 S Hwy 27  Clermont  FL 34711
Citgo – Quick n’ E-Z,6325 Silver Star Rd.  Orlando  FL 32818
Florida Mobil,101 W. Bearss Ave.  Tampa  FL 33613
Citgo Food Mart,7155 Edgewater Dr.  Orlando  FL 32810
Chevron,7323 Indrio Rd.  Fort Pierce  FL 34951
Food Express #3,454 E Main St  Apopka  FL 32703
Mobil – Sam’s Market,7049 Okeechobee Rd.  Fort Pierce  FL 34945
Chevron,4890 22nd Ave S.  St. Petersburg  FL 33711
Marathon,1541 Del Prado Blvd.  Cape Coral  FL 33990
Citgo Express Mart,2000 Drew St.  Clearwater  FL 33765
Food Express,1690 W Airport Blvd  Sanford  FL 32773
Mims Food Mart,4412 W Main St  Mims  FL 32754
Marathon,7700 Cypress Lake Dr  Fort Meyers  FL 33907
Indian Sunoco,9935 State Road 52  Hudson  FL 34669
Mobil,11571 Gladiolus Dr.  Fort Myers  FL 33908
A&amp;T Food Mart,19051 S. Tamiami Trail  Fort Meyers  FL 33908
Deland Dream Food Mart,100 S. Spring Garden Ave.  Deland  FL 32720
Royal Palm Chevron Gas,11711 Okeechobee Blvd Royal Palm Royal Palm Beach  FL 33411
Mobile Mart Gas,2152 Okeechobee Blvd  West Palm Beach  FL 33409
Valero Gas,3985 10th Ave N  Lake Worth  FL 33461
Hagen Ranch Shell Gas,7450 W Boynton Beach Blvd  Boynton Beach  FL 33437
Ripon Food Mart,1952 NE 49th Street  Pompano Beach  FL 33064
Atlanic Food Mart,2665 W. Atlantic Blvd.  Pompano Beach  FL 33069
West Point Chevron,186 GA Highway 18  West Point  GA 31833
Chevron Food Mart,202 E. Boundary St.  Augusta  GA 30901
Chevron Keys Ferry,1872 Keys Ferry Road  McDonough  GA 30252
Shell Food Mart,10724 Bypass Rd  Covington  GA 30014
Rex Food Mart,5969 GA-42  Rex  GA 30273
Golden 7 Deli,940 Columbus Ave  San Francisco  CA 94133
ROSELAND GAS MART,921 SEBASTAPOL RD  SANTA ROSA  CA 95407
BevBox San Pablo,2100 23rd St.  San Pablo  CA 94806
VALERO GAS,4069 suite A SAN PABLO RD  EL SOBRANTE  CA 94803
Bevbox Rodeo-Hercules,386 Parker Ave.  Rodeo  CA 94572
Bevbox,540 Benicia Rd.  Vallejo  CA 94590
Bevbox,701 Mini Dr.  Vallejo  CA 94589
Val’s Liquors,1531 3rd St.  Napa  CA 94559
Anthony Craft Beer &amp; Wine,855 E Stanley Blvd  Livermore  CA 94550
Baypoint Bevbox,634 Port Chicago Hwy.  Bay point  CA 94565
Dave’s Liquor &amp; Food,1347 Oliver rd  Fairfield  CA 94534
Capital Gas Mart,1401 West Capital Ave.  West Sacramento  CA 95691
Save Mart liquor,1340 S Hutchins st.  Lodi  CA 95240
Circle K Convenience Store,1619 Sycamore Ave  Atwater  CA 95301
Circle K,2104 G St.  Merced  CA 95340
Chevron,30811 Pacific Coast Highway  Malibu  CA 90265
76,26101 Pacific cost Hwy  Malibu  CA 90265
Shell,15401 W. Sunset Blvd.  Pacific Palisades  CA 90272
Chevron,11951 W Olympic Blvd.  Los Angeles  CA 90064
MOBIL,4822 VAN NUYS BLVD  Sherman Oaks  CA 91403
76 Station,9460 w Olympic Blvd.  Beverly Hills  CA 90212
Arco,7901 Sunset Blvd.  Los Angeles  CA 90046
Chevron,3325 West 6 St.   Los Angeles  CA 90020
Wabi Sabi Village Market,146 Linden Ave  Long Beach  CA 90802
Sea Cliff Liquor,402 17th St  Huntington beach  CA 92648
BHM 76 Gas Station,3450 W Ball Road  Anaheim  CA 92804
Chevron,6392 Beach Blvd.  Buena Park  CA 90621
JM Gasoline,1321 N. Carson St  Carson City  NV 89701
Quickie Mart,3930 Spring Dr.  Reno  NV 89502
Mobil – A&amp;R Oil,477 Harbor Dr.   Oceanside   CA 92054
Smart Stop Inc,350 N Mccarran Blvd  Sparks  NV 89431
Carlsbad 76,945 Tamarack Ave.  Carlsbad  CA 92008
Shell Carlsbad,7140 Avenida Encinas  Carlsbad  CA 92011
Avenue Liquor and Wine,878 Orange Ave.   Coronado   CA 92118
Cine Cafe,412 K Street   San Diego   CA 92101
Starlight Market,7020 El Cajon Blvd.  San Diego  CA 92115
Wash And Mart,750 N. Escondido Blvd.  Escondido  CA 92025
La Cadena Express,420 N La Cadena Dr  Colton  CA 92324
Star Market,10502 Mission Gorge Rd. Ste 110  Santee  CA 92071
Eucalyptus Liquor Store,11626 Riverside Dr.  Lakeside  CA 92040
Food Farm Market,13307 Old Hwy 8  El Cajon  CA 92021
Oak Valley Chevron,886 Oak Valley Pkwy.  Beaumont  CA 92223
Shell,13221 Pacific Ave.  Tacoma  WA 98444
