Store Name, Address
        Fellsmere   ,       6 S Oak St  Fellsmere  FL 32948   
        Lake Terrace Orlando   ,       3096 Curry Ford Rd  Orlando  FL 32806   
        Royal Palm Beach   ,       1201 Royal Palm Beach Blvd  Royal Palm Beach  FL 33411   
        Leesburg West   ,       2340 W Main St  Leesburg  FL 34748   
        Winter Haven South   ,       1660 Lake Shipp Dr  Winter Haven  FL 33880   
        North Fresno   ,       5783 N Palm Ave  Fresno  CA 93704   
        Nuevo   ,       19560 Lakeview Ave E  Nuevo  CA 92567   
        West Glendale   ,       5300 San Fernando Rd # A  Glendale  CA 91203   
        Northeast Los Angeles   ,       4005 N Eagle Rock Blvd Los Angeles CA 90065   
        North Hollywood   ,       7214 Whitsett Ave  North Hollywood  CA 91605   
        Fox Hills Los Angeles   ,       5975 W Centinela Ave  Los Angeles  CA 90045   
        Thousand Oaks   ,       225 Hampshire Rd  Thousand Oaks  CA 91361   
        Greenbrier   ,       641 US-65  Greenbrier  AR 72058   
        Mulberry   ,       1285 Highway 37 North  Mulberry  FL 33860   
        Fort Lauderdale East   ,       3311 W Broward Blvd  Fort Lauderdale  FL 33312   
        Humble   ,       4028 FM 1960  Humble  TX 77346   
        Conway   ,       1640 E Oak St Conway  AR 72032   
        Athens   ,       2609 Decatur Pike at I-75 Athens  TN 37303   
        Saint Joseph   ,       3215 s 22nd st Saint Joseph  MO 64503   
        St Cloud   ,       1425 S Narcoossee Rd  St Cloud  FL 34771   
        North Daytona Beach Shores   ,       1200 S Atlantic Ave  Daytona Beach  FL 32118   
        Dundee   ,       201 Dundee Rd  Dundee  FL 33838   
        Winter Park East   ,       3011 N Goldenrod Rd  Winter Park  FL 32792   
        Greater Carrollwood   ,       6017 W Linebaugh Ave  Tampa  FL 33625   
        Ybor Heights Tampa   ,       3930 N Nebraska Ave Tampa  FL 33603   
        Oldsmar   ,       300 St Petersburg Dr W Oldsmar  FL 34677   
        Fort Myers Northeast   ,       5179 Palm Beach Blvd Fort Myers  FL 33905   
        Monticello   ,       274 US-425  Monticello  AR 71655   
        Edgewood Orlando   ,       4096 S Orange Ave Orlando  FL	32806   
        Carollton   ,       1900 S Josey Ln Carrollton  TX 75006   
        Fort Pierce West   ,       2501 Orange Ave Fort Pierce  FL 34947   
        Wellington   ,       13870 Wellington Trace Wellington  FL 33414   
        Southeast Wellington   ,       2741 S State Road Wellington  FL 33414   
        Old Town Topeka   ,       1107 SW 6th Ave  Topeka  KS 66606   
        Crystal Lake   ,       1101 S Combee RD Lakeland  FL 33801   
        Lake Wales   ,       800 N Scenic Hwy Lake Wales 	FL 33853   
        Boggy Creek Orlando   ,       8800 s orange ave orlando  fl 32824   
        Davenport   ,       304 Hwy 17/92	Davenport  FL	33837   
        Punta Gorda   ,       3949 Tamiami Trl	Punta Gorda  FL	33950   
        Lakewood Jacksonville   ,       4586 San Juan Ave Jacksonville  FL 32210   
        Northwest Ocala   ,       4410 W Highway 326 Ocala  FL 33482   
        Auburndale East   ,       549 E Bridgers Ave Auburndale  FL	33812   
        Northwest Boca Raton   ,       19345 S SR 7 Boca Raton  FL	33498   
        Avon Park   ,       998 US Hwy 27 N Avon Park  FL 33825   
        East Apopka   ,       3498 Semoran Blvd	Apopka  FL	32703   
        Auburndale   ,       2101 K Ville Ave Auburndale  FL 33823   
        North Davenport   ,       5945 US Hwy 17 92 N Davenport  FL 33837   
        West Jupiter   ,       10050 W Indiantown Rd Jupiter  FL 33478   
        New Port Richey   ,       5736 US-19 New Port Richey  FL 34652   
        Sheridan   ,       307 Rock St	Sheridan  AR	72150   
        Winter Haven East   ,       1549 Dundee Rd Winter Haven  FL 33884   
        Southeast St Cloud   ,       8900 e irlo Bronson Memorial HWY St Cloud  fl 34773   
        Harvey   ,       384 E 159th St Harvey  IL 60426   
        De Leon Springs   ,       4796 US-17 De Leon Springs FL 32130   
        Pine Castle Orlando   ,       455 w oak ridge rd Orlando  fl 32809   
        Lakeland West   ,       2085 W Highland St Lakeland FL 33815   
        New Braunfels   ,       957 TX-337 Loop	New Braunfels  TX	78130   
        West Indianapolis   ,       5251 W Bradbury Ave Suite B 	Indianapolis 	IN	46241   
        East Hillsboro   ,       300 W Elm St Hillsboro  TX	76645   
        East Riverside   ,       1147 University Ave	Riverside  CA	92507   
        North Merritt Island   ,       3120 N Courtenay Pkwy	Merritt Island  FL	32953   
        Walnut Hill   ,       1357 NW Radial Hwy Omaha  NE	68131   
        Keystone   ,       8928 Maple Street Omaha  NE	68134   
        Glen Iris   ,       429 Valley Ave Birmingham  AL	35209   
        North Phoenix   ,       1616 E Bethany Home Rd	Phoenix 	AZ	85016   
        Century Plaza   ,       20302 Imperial Valley Dr Houston  TX	77073   
        Hancock North Fort Myers   ,       4101 Hancock Bridge PKWY North Fort Meyers 	FL	33903   
        Eastex Houston   ,       6005 Jensen Dr	Houston	  TX	77026   
        Garden Grove   ,       11962 Brookhurst St Garden Grove  CA	92840   
        Central Upland   ,       61 E Arrow Hwy	Upland  CA	91786   
        Merritt Island   ,       290 N Courtenay Pkwy Merritt Island  FL	32953   
        Mabelvale   ,       10402 Mabelvale West Rd	Little Rock  AR	72103   
        Dodge Street Corridor   ,       4429 California Street	Omaha  NE	68131   
        OPPD Arboretum   ,       10707 Blondo Street	Omaha  NE	68134   
        Clarkson Park   ,       4108 Dodge Street Omaha  NE	68131   
        West Los Angeles   ,       1660 S Sepulveda Blvd Los Angeles  CA	90025   
        Montgomery   ,       4100 Atlanta Hwy Montgomery  AL	36109   
        Benson Park   ,       7205 Lawndale Dr  Omaha  NE	68134   
        Hefflinger Park   ,       3223 N 108th Street 	Omaha  NE	68134   
        Morningside Fort Myers   ,       4087 Palm Beach Blvd Fort Myers  FL	33916   
        Council Bluffs   ,       3540 W Broadway Council Bluffs  IA	51501   
        Fort Lauderdale North   ,       1301 NE 4th Ave Fort Lauderdale  FL	33304   
        Santa Ana   ,       3041 S Bristol St	Santa Ana  CA	92704   
        Capitol Park   ,       1372 E 14th St Des Moines  IA	50316   
        Stanton   ,       12493 Beach Blvd Stanton	  CA	90680   
        Orchard Park   ,       4800 W Central Ave	Wichita  KS	67212   
        West Greenville   ,       6400 White Horse Rd	Greenville  SC 29611   
